broker_consultancy,Rent,Area,appartment_type,Deposit,Bathrooms,Facing,Address,Apartment Name,Status
"Seller
VERIFIED OWNER",8000,800,2,"8,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,"70,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",30000,1400,3,"30,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",27000,1830,3,"27,000 deposit",3 bathrooms,,"Siddhartha Vihar, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",11000,985,2,"20,000 deposit",2 bathrooms,,"Govindpuram, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Vijay Nagar, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",18000,960,2,No Deposit,2 bathrooms,South facing,"Ahinsa Khand 1, Ghaziabad",Shipra Suncity,Semi-Furnished
"Seller
VERIFIED OWNER",38000,1255,2,No Deposit,2 bathrooms,,"Ahinsa Khand 2, Ghaziabad",SVP Gulmohur Residency,Furnished
"Seller
VERIFIED OWNER",75000,3810,4,2.25 L deposit,4 bathrooms,,"Surya Nagar, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",5000,400,1,"5,000 deposit",1 bathrooms,,"Nai Basti Dundahera, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",5000,180,1,No Deposit,1 bathrooms,,"Bhopura, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",10000,750,1,"10,000 deposit",1 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",13500,840,2,No Deposit,2 bathrooms,East facing,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",25000,1850,3,"50,000 deposit",3 bathrooms,,"Dasna, Ghaziabad",UCHDL Wave City,Semi-Furnished
"Seller
VERIFIED OWNER",4500,600,1,"4,500 deposit",1 bathrooms,,"Govindpuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",14500,840,2,No Deposit,2 bathrooms,,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",15000,918,3,No Deposit,3 bathrooms,,"Dasna, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",29000,1000,2,No Deposit,2 bathrooms,East facing,"Shipra Suncity, Ghaziabad",Reputed Builder Shipra Sun City,Furnished
"Seller
VERIFIED OWNER",17000,1250,2,"17,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Semi-Furnished
"Seller
VERIFIED OWNER",8000,800,2,"8,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,"70,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",30000,1400,3,"30,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",27000,1830,3,"27,000 deposit",3 bathrooms,,"Siddhartha Vihar, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",11000,985,2,"20,000 deposit",2 bathrooms,,"Govindpuram, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Vijay Nagar, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",18000,960,2,No Deposit,2 bathrooms,South facing,"Ahinsa Khand 1, Ghaziabad",Shipra Suncity,Semi-Furnished
"Seller
VERIFIED OWNER",38000,1255,2,No Deposit,2 bathrooms,,"Ahinsa Khand 2, Ghaziabad",SVP Gulmohur Residency,Furnished
"Seller
VERIFIED OWNER",75000,3810,4,2.25 L deposit,4 bathrooms,,"Surya Nagar, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",5000,400,1,"5,000 deposit",1 bathrooms,,"Nai Basti Dundahera, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",5000,180,1,No Deposit,1 bathrooms,,"Bhopura, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",10000,750,1,"10,000 deposit",1 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",13500,840,2,No Deposit,2 bathrooms,East facing,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",25000,1850,3,"50,000 deposit",3 bathrooms,,"Dasna, Ghaziabad",UCHDL Wave City,Semi-Furnished
"Seller
VERIFIED OWNER",4500,600,1,"4,500 deposit",1 bathrooms,,"Govindpuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",14500,840,2,No Deposit,2 bathrooms,,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",15000,918,3,No Deposit,3 bathrooms,,"Dasna, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",29000,1000,2,No Deposit,2 bathrooms,East facing,"Shipra Suncity, Ghaziabad",Reputed Builder Shipra Sun City,Furnished
"Seller
VERIFIED OWNER",17000,1250,2,"17,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Semi-Furnished
"Seller
VERIFIED OWNER",8000,800,2,"8,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,"70,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",30000,1400,3,"30,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",27000,1830,3,"27,000 deposit",3 bathrooms,,"Siddhartha Vihar, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",11000,985,2,"20,000 deposit",2 bathrooms,,"Govindpuram, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Vijay Nagar, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",18000,960,2,No Deposit,2 bathrooms,South facing,"Ahinsa Khand 1, Ghaziabad",Shipra Suncity,Semi-Furnished
"Seller
VERIFIED OWNER",38000,1255,2,No Deposit,2 bathrooms,,"Ahinsa Khand 2, Ghaziabad",SVP Gulmohur Residency,Furnished
"Seller
VERIFIED OWNER",75000,3810,4,2.25 L deposit,4 bathrooms,,"Surya Nagar, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",5000,400,1,"5,000 deposit",1 bathrooms,,"Nai Basti Dundahera, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",5000,180,1,No Deposit,1 bathrooms,,"Bhopura, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",10000,750,1,"10,000 deposit",1 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",13500,840,2,No Deposit,2 bathrooms,East facing,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",25000,1850,3,"50,000 deposit",3 bathrooms,,"Dasna, Ghaziabad",UCHDL Wave City,Semi-Furnished
"Seller
VERIFIED OWNER",4500,600,1,"4,500 deposit",1 bathrooms,,"Govindpuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",14500,840,2,No Deposit,2 bathrooms,,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",15000,918,3,No Deposit,3 bathrooms,,"Dasna, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",29000,1000,2,No Deposit,2 bathrooms,East facing,"Shipra Suncity, Ghaziabad",Reputed Builder Shipra Sun City,Furnished
"Seller
VERIFIED OWNER",17000,1250,2,"17,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Semi-Furnished
"Seller
VERIFIED OWNER",8000,800,2,"8,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,"70,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",30000,1400,3,"30,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",27000,1830,3,"27,000 deposit",3 bathrooms,,"Siddhartha Vihar, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",11000,985,2,"20,000 deposit",2 bathrooms,,"Govindpuram, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Vijay Nagar, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",18000,960,2,No Deposit,2 bathrooms,South facing,"Ahinsa Khand 1, Ghaziabad",Shipra Suncity,Semi-Furnished
"Seller
VERIFIED OWNER",38000,1255,2,No Deposit,2 bathrooms,,"Ahinsa Khand 2, Ghaziabad",SVP Gulmohur Residency,Furnished
"Seller
VERIFIED OWNER",75000,3810,4,2.25 L deposit,4 bathrooms,,"Surya Nagar, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",5000,400,1,"5,000 deposit",1 bathrooms,,"Nai Basti Dundahera, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",5000,180,1,No Deposit,1 bathrooms,,"Bhopura, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",10000,750,1,"10,000 deposit",1 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",13500,840,2,No Deposit,2 bathrooms,East facing,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",25000,1850,3,"50,000 deposit",3 bathrooms,,"Dasna, Ghaziabad",UCHDL Wave City,Semi-Furnished
"Seller
VERIFIED OWNER",4500,600,1,"4,500 deposit",1 bathrooms,,"Govindpuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",14500,840,2,No Deposit,2 bathrooms,,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",15000,918,3,No Deposit,3 bathrooms,,"Dasna, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",29000,1000,2,No Deposit,2 bathrooms,East facing,"Shipra Suncity, Ghaziabad",Reputed Builder Shipra Sun City,Furnished
"Seller
VERIFIED OWNER",17000,1250,2,"17,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Semi-Furnished
"Seller
VERIFIED OWNER",8000,800,2,"8,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,"70,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",30000,1400,3,"30,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",27000,1830,3,"27,000 deposit",3 bathrooms,,"Siddhartha Vihar, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",11000,985,2,"20,000 deposit",2 bathrooms,,"Govindpuram, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Vijay Nagar, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",18000,960,2,No Deposit,2 bathrooms,South facing,"Ahinsa Khand 1, Ghaziabad",Shipra Suncity,Semi-Furnished
"Seller
VERIFIED OWNER",38000,1255,2,No Deposit,2 bathrooms,,"Ahinsa Khand 2, Ghaziabad",SVP Gulmohur Residency,Furnished
"Seller
VERIFIED OWNER",75000,3810,4,2.25 L deposit,4 bathrooms,,"Surya Nagar, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",5000,400,1,"5,000 deposit",1 bathrooms,,"Nai Basti Dundahera, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",5000,180,1,No Deposit,1 bathrooms,,"Bhopura, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",10000,750,1,"10,000 deposit",1 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",13500,840,2,No Deposit,2 bathrooms,East facing,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",25000,1850,3,"50,000 deposit",3 bathrooms,,"Dasna, Ghaziabad",UCHDL Wave City,Semi-Furnished
"Seller
VERIFIED OWNER",4500,600,1,"4,500 deposit",1 bathrooms,,"Govindpuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",14500,840,2,No Deposit,2 bathrooms,,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",15000,918,3,No Deposit,3 bathrooms,,"Dasna, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",29000,1000,2,No Deposit,2 bathrooms,East facing,"Shipra Suncity, Ghaziabad",Reputed Builder Shipra Sun City,Furnished
"Seller
VERIFIED OWNER",17000,1250,2,"17,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Semi-Furnished
"Seller
VERIFIED OWNER",8000,800,2,"8,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,"70,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",30000,1400,3,"30,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",27000,1830,3,"27,000 deposit",3 bathrooms,,"Siddhartha Vihar, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",11000,985,2,"20,000 deposit",2 bathrooms,,"Govindpuram, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Vijay Nagar, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",18000,960,2,No Deposit,2 bathrooms,South facing,"Ahinsa Khand 1, Ghaziabad",Shipra Suncity,Semi-Furnished
"Seller
VERIFIED OWNER",38000,1255,2,No Deposit,2 bathrooms,,"Ahinsa Khand 2, Ghaziabad",SVP Gulmohur Residency,Furnished
"Seller
VERIFIED OWNER",75000,3810,4,2.25 L deposit,4 bathrooms,,"Surya Nagar, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",5000,400,1,"5,000 deposit",1 bathrooms,,"Nai Basti Dundahera, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",5000,180,1,No Deposit,1 bathrooms,,"Bhopura, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",10000,750,1,"10,000 deposit",1 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",13500,840,2,No Deposit,2 bathrooms,East facing,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",25000,1850,3,"50,000 deposit",3 bathrooms,,"Dasna, Ghaziabad",UCHDL Wave City,Semi-Furnished
"Seller
VERIFIED OWNER",4500,600,1,"4,500 deposit",1 bathrooms,,"Govindpuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",14500,840,2,No Deposit,2 bathrooms,,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",15000,918,3,No Deposit,3 bathrooms,,"Dasna, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",29000,1000,2,No Deposit,2 bathrooms,East facing,"Shipra Suncity, Ghaziabad",Reputed Builder Shipra Sun City,Furnished
"Seller
VERIFIED OWNER",17000,1250,2,"17,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Semi-Furnished
"Seller
VERIFIED OWNER",8000,800,2,"8,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,"70,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",30000,1400,3,"30,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",27000,1830,3,"27,000 deposit",3 bathrooms,,"Siddhartha Vihar, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",11000,985,2,"20,000 deposit",2 bathrooms,,"Govindpuram, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Vijay Nagar, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",18000,960,2,No Deposit,2 bathrooms,South facing,"Ahinsa Khand 1, Ghaziabad",Shipra Suncity,Semi-Furnished
"Seller
VERIFIED OWNER",38000,1255,2,No Deposit,2 bathrooms,,"Ahinsa Khand 2, Ghaziabad",SVP Gulmohur Residency,Furnished
"Seller
VERIFIED OWNER",75000,3810,4,2.25 L deposit,4 bathrooms,,"Surya Nagar, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",5000,400,1,"5,000 deposit",1 bathrooms,,"Nai Basti Dundahera, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",5000,180,1,No Deposit,1 bathrooms,,"Bhopura, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",10000,750,1,"10,000 deposit",1 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",13500,840,2,No Deposit,2 bathrooms,East facing,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",25000,1850,3,"50,000 deposit",3 bathrooms,,"Dasna, Ghaziabad",UCHDL Wave City,Semi-Furnished
"Seller
VERIFIED OWNER",4500,600,1,"4,500 deposit",1 bathrooms,,"Govindpuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",14500,840,2,No Deposit,2 bathrooms,,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",15000,918,3,No Deposit,3 bathrooms,,"Dasna, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",29000,1000,2,No Deposit,2 bathrooms,East facing,"Shipra Suncity, Ghaziabad",Reputed Builder Shipra Sun City,Furnished
"Seller
VERIFIED OWNER",17000,1250,2,"17,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Semi-Furnished
"Seller
VERIFIED OWNER",8000,800,2,"8,000 deposit",2 bathrooms,,"Nehru Nagar, Ghaziabad",Project,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,"70,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",30000,1400,3,"30,000 deposit",3 bathrooms,,"Indirapuram, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",27000,1830,3,"27,000 deposit",3 bathrooms,,"Siddhartha Vihar, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",11000,985,2,"20,000 deposit",2 bathrooms,,"Govindpuram, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Vijay Nagar, Ghaziabad",,Unfurnished
"Seller
VERIFIED OWNER",18000,960,2,No Deposit,2 bathrooms,South facing,"Ahinsa Khand 1, Ghaziabad",Shipra Suncity,Semi-Furnished
"Seller
VERIFIED OWNER",38000,1255,2,No Deposit,2 bathrooms,,"Ahinsa Khand 2, Ghaziabad",SVP Gulmohur Residency,Furnished
"Seller
VERIFIED OWNER",75000,3810,4,2.25 L deposit,4 bathrooms,,"Surya Nagar, Ghaziabad",,Furnished
"Seller
VERIFIED OWNER",5000,400,1,"5,000 deposit",1 bathrooms,,"Nai Basti Dundahera, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",5000,180,1,No Deposit,1 bathrooms,,"Bhopura, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",10000,750,1,"10,000 deposit",1 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",6000,750,2,"6,000 deposit",2 bathrooms,,"Raj Nagar Extension, Ghaziabad",,Semi-Furnished
"Seller
VERIFIED OWNER",13500,840,2,No Deposit,2 bathrooms,East facing,"Dasna, Ghaziabad",UCHDL UCHDPL Dream Homes,Semi-Furnished
"Seller
VERIFIED OWNER",25000,1850,3,"50,000 deposit",3 bathrooms,,"Dasna, Ghaziabad",UCHDL Wave City,Semi-Furnished
"Seller
VERIFIED OWNER",4500,600,1,"4,500 deposit",1 bathrooms,,"Govindpuram, Ghaziabad",,Unfurnished
