broker_consultancy,Rent,Builtup Area,appartment_type,Deposit,Bathrooms,Facing,Address,Apartment Name,Status
"Seller
VERIFIED OWNER",7500,500,1,No Deposit,1 bathrooms,North facing,"Lohegaon, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",12000,906,2,No Deposit,2 bathrooms,,"Lohegaon, Pune",Jayshree Boulevard,Unfurnished
"Seller
VERIFIED OWNER",11000,650,1,No Deposit,1 bathrooms,,"Anand Nagar, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",4500,350,1,No Deposit,1 bathrooms,,"Wagholi, Pune",,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,No Deposit,2 bathrooms,North facing,"Sangamvadi, Pune",,Furnished
"Seller
VERIFIED OWNER",1.1 L,5000,5,No Deposit,5 bathrooms,,"Wadgaon Sheri, Pune",,Unfurnished
"Seller
VERIFIED OWNER",15500,975,2,No Deposit,2 bathrooms,,"Tathawade, Pune",Legacy Twin Arcs,Semi-Furnished
"Primus Realty
AGENT
0",41000,1630,3,No Deposit,3 bathrooms,,"Mohammed wadi, Pune",,Semi-Furnished
"NISHA SINGH
AGENT
0",51000,2500,5,No Deposit,5 bathrooms,West facing,"Tathawade, Pune",Pharande Puneville Phase I,Semi-Furnished
"Isahh Realtors
AGENT
0",75000,2700,3,No Deposit,4 bathrooms,East facing,"NIBM Annex Mohammadwadi, Pune",Marvel Sangria,Semi-Furnished
"Vastupurti Real Estate
AGENT
0",30000,1300,3,No Deposit,3 bathrooms,East facing,"Vadgaon Budruk, Pune",Tirupati Welworth Bluescapes,Semi-Furnished
"MY HOMES GATEWAY
AGENT
0",36000,1560,3,No Deposit,3 bathrooms,East facing,"Wakad, Pune",Karan Madhupushpa,Semi-Furnished
"Sai Real Estate
AGENT
0",41000,1250,2,No Deposit,2 bathrooms,,"Kharadi, Pune",Vascon Forest County,Semi-Furnished
"Happiness Realtors
AGENT
0",18000,950,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Majestique Manhattan Wing C,Semi-Furnished
"Vision Realty
AGENT
0",30000,1570,3,No Deposit,3 bathrooms,,"NIBM Annex Mohammadwadi, Pune",Kumar Palmspring Towers,Semi-Furnished
"Melange Consultancy
AGENT
0",48000,1300,2,No Deposit,2 bathrooms,,"Hadapsar, Pune",Marvel Arco,Furnished
"A Realities
AGENT
0",23000,1000,2,No Deposit,2 bathrooms,West facing,"Dhanori, Pune",Goel Ganga Ganga Newtown Ph 02,Semi-Furnished
"KDH REALITY
AGENT
0",24000,1250,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Kolte Patil Ivy Apartment E V And VI,Semi-Furnished
"FS Realty
AGENT
0",26000,950,2,No Deposit,2 bathrooms,East facing,"Dhanori, Pune",Raojee Palladium Homes,Unfurnished
"Envision Realty
AGENT
0",37000,1100,3,No Deposit,3 bathrooms,,"Hinjewadi, Pune",Paranjape Blue Ridge Project E Land T24 And T25,Semi-Furnished
"Seller
VERIFIED OWNER",7500,500,1,No Deposit,1 bathrooms,North facing,"Lohegaon, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",12000,906,2,No Deposit,2 bathrooms,,"Lohegaon, Pune",Jayshree Boulevard,Unfurnished
"Seller
VERIFIED OWNER",11000,650,1,No Deposit,1 bathrooms,,"Anand Nagar, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",4500,350,1,No Deposit,1 bathrooms,,"Wagholi, Pune",,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,No Deposit,2 bathrooms,North facing,"Sangamvadi, Pune",,Furnished
"Seller
VERIFIED OWNER",1.1 L,5000,5,No Deposit,5 bathrooms,,"Wadgaon Sheri, Pune",,Unfurnished
"Seller
VERIFIED OWNER",15500,975,2,No Deposit,2 bathrooms,,"Tathawade, Pune",Legacy Twin Arcs,Semi-Furnished
"Primus Realty
AGENT
0",41000,1630,3,No Deposit,3 bathrooms,,"Mohammed wadi, Pune",,Semi-Furnished
"NISHA SINGH
AGENT
0",51000,2500,5,No Deposit,5 bathrooms,West facing,"Tathawade, Pune",Pharande Puneville Phase I,Semi-Furnished
"Isahh Realtors
AGENT
0",75000,2700,3,No Deposit,4 bathrooms,East facing,"NIBM Annex Mohammadwadi, Pune",Marvel Sangria,Semi-Furnished
"Vastupurti Real Estate
AGENT
0",30000,1300,3,No Deposit,3 bathrooms,East facing,"Vadgaon Budruk, Pune",Tirupati Welworth Bluescapes,Semi-Furnished
"MY HOMES GATEWAY
AGENT
0",36000,1560,3,No Deposit,3 bathrooms,East facing,"Wakad, Pune",Karan Madhupushpa,Semi-Furnished
"Sai Real Estate
AGENT
0",41000,1250,2,No Deposit,2 bathrooms,,"Kharadi, Pune",Vascon Forest County,Semi-Furnished
"Happiness Realtors
AGENT
0",18000,950,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Majestique Manhattan Wing C,Semi-Furnished
"Vision Realty
AGENT
0",30000,1570,3,No Deposit,3 bathrooms,,"NIBM Annex Mohammadwadi, Pune",Kumar Palmspring Towers,Semi-Furnished
"Melange Consultancy
AGENT
0",48000,1300,2,No Deposit,2 bathrooms,,"Hadapsar, Pune",Marvel Arco,Furnished
"A Realities
AGENT
0",23000,1000,2,No Deposit,2 bathrooms,West facing,"Dhanori, Pune",Goel Ganga Ganga Newtown Ph 02,Semi-Furnished
"KDH REALITY
AGENT
0",24000,1250,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Kolte Patil Ivy Apartment E V And VI,Semi-Furnished
"FS Realty
AGENT
0",26000,950,2,No Deposit,2 bathrooms,East facing,"Dhanori, Pune",Raojee Palladium Homes,Unfurnished
"Envision Realty
AGENT
0",37000,1100,3,No Deposit,3 bathrooms,,"Hinjewadi, Pune",Paranjape Blue Ridge Project E Land T24 And T25,Semi-Furnished
"Seller
VERIFIED OWNER",7500,500,1,No Deposit,1 bathrooms,North facing,"Lohegaon, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",12000,906,2,No Deposit,2 bathrooms,,"Lohegaon, Pune",Jayshree Boulevard,Unfurnished
"Seller
VERIFIED OWNER",11000,650,1,No Deposit,1 bathrooms,,"Anand Nagar, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",4500,350,1,No Deposit,1 bathrooms,,"Wagholi, Pune",,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,No Deposit,2 bathrooms,North facing,"Sangamvadi, Pune",,Furnished
"Seller
VERIFIED OWNER",1.1 L,5000,5,No Deposit,5 bathrooms,,"Wadgaon Sheri, Pune",,Unfurnished
"Seller
VERIFIED OWNER",15500,975,2,No Deposit,2 bathrooms,,"Tathawade, Pune",Legacy Twin Arcs,Semi-Furnished
"Primus Realty
AGENT
0",41000,1630,3,No Deposit,3 bathrooms,,"Mohammed wadi, Pune",,Semi-Furnished
"NISHA SINGH
AGENT
0",51000,2500,5,No Deposit,5 bathrooms,West facing,"Tathawade, Pune",Pharande Puneville Phase I,Semi-Furnished
"Isahh Realtors
AGENT
0",75000,2700,3,No Deposit,4 bathrooms,East facing,"NIBM Annex Mohammadwadi, Pune",Marvel Sangria,Semi-Furnished
"Vastupurti Real Estate
AGENT
0",30000,1300,3,No Deposit,3 bathrooms,East facing,"Vadgaon Budruk, Pune",Tirupati Welworth Bluescapes,Semi-Furnished
"MY HOMES GATEWAY
AGENT
0",36000,1560,3,No Deposit,3 bathrooms,East facing,"Wakad, Pune",Karan Madhupushpa,Semi-Furnished
"Sai Real Estate
AGENT
0",41000,1250,2,No Deposit,2 bathrooms,,"Kharadi, Pune",Vascon Forest County,Semi-Furnished
"Happiness Realtors
AGENT
0",18000,950,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Majestique Manhattan Wing C,Semi-Furnished
"Vision Realty
AGENT
0",30000,1570,3,No Deposit,3 bathrooms,,"NIBM Annex Mohammadwadi, Pune",Kumar Palmspring Towers,Semi-Furnished
"Melange Consultancy
AGENT
0",48000,1300,2,No Deposit,2 bathrooms,,"Hadapsar, Pune",Marvel Arco,Furnished
"A Realities
AGENT
0",23000,1000,2,No Deposit,2 bathrooms,West facing,"Dhanori, Pune",Goel Ganga Ganga Newtown Ph 02,Semi-Furnished
"KDH REALITY
AGENT
0",24000,1250,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Kolte Patil Ivy Apartment E V And VI,Semi-Furnished
"FS Realty
AGENT
0",26000,950,2,No Deposit,2 bathrooms,East facing,"Dhanori, Pune",Raojee Palladium Homes,Unfurnished
"Envision Realty
AGENT
0",37000,1100,3,No Deposit,3 bathrooms,,"Hinjewadi, Pune",Paranjape Blue Ridge Project E Land T24 And T25,Semi-Furnished
"Seller
VERIFIED OWNER",7500,500,1,No Deposit,1 bathrooms,North facing,"Lohegaon, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",12000,906,2,No Deposit,2 bathrooms,,"Lohegaon, Pune",Jayshree Boulevard,Unfurnished
"Seller
VERIFIED OWNER",11000,650,1,No Deposit,1 bathrooms,,"Anand Nagar, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",4500,350,1,No Deposit,1 bathrooms,,"Wagholi, Pune",,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,No Deposit,2 bathrooms,North facing,"Sangamvadi, Pune",,Furnished
"Seller
VERIFIED OWNER",1.1 L,5000,5,No Deposit,5 bathrooms,,"Wadgaon Sheri, Pune",,Unfurnished
"Seller
VERIFIED OWNER",15500,975,2,No Deposit,2 bathrooms,,"Tathawade, Pune",Legacy Twin Arcs,Semi-Furnished
"Primus Realty
AGENT
0",41000,1630,3,No Deposit,3 bathrooms,,"Mohammed wadi, Pune",,Semi-Furnished
"NISHA SINGH
AGENT
0",51000,2500,5,No Deposit,5 bathrooms,West facing,"Tathawade, Pune",Pharande Puneville Phase I,Semi-Furnished
"Isahh Realtors
AGENT
0",75000,2700,3,No Deposit,4 bathrooms,East facing,"NIBM Annex Mohammadwadi, Pune",Marvel Sangria,Semi-Furnished
"Vastupurti Real Estate
AGENT
0",30000,1300,3,No Deposit,3 bathrooms,East facing,"Vadgaon Budruk, Pune",Tirupati Welworth Bluescapes,Semi-Furnished
"MY HOMES GATEWAY
AGENT
0",36000,1560,3,No Deposit,3 bathrooms,East facing,"Wakad, Pune",Karan Madhupushpa,Semi-Furnished
"Sai Real Estate
AGENT
0",41000,1250,2,No Deposit,2 bathrooms,,"Kharadi, Pune",Vascon Forest County,Semi-Furnished
"Happiness Realtors
AGENT
0",18000,950,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Majestique Manhattan Wing C,Semi-Furnished
"Vision Realty
AGENT
0",30000,1570,3,No Deposit,3 bathrooms,,"NIBM Annex Mohammadwadi, Pune",Kumar Palmspring Towers,Semi-Furnished
"Melange Consultancy
AGENT
0",48000,1300,2,No Deposit,2 bathrooms,,"Hadapsar, Pune",Marvel Arco,Furnished
"A Realities
AGENT
0",23000,1000,2,No Deposit,2 bathrooms,West facing,"Dhanori, Pune",Goel Ganga Ganga Newtown Ph 02,Semi-Furnished
"KDH REALITY
AGENT
0",24000,1250,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Kolte Patil Ivy Apartment E V And VI,Semi-Furnished
"FS Realty
AGENT
0",26000,950,2,No Deposit,2 bathrooms,East facing,"Dhanori, Pune",Raojee Palladium Homes,Unfurnished
"Envision Realty
AGENT
0",37000,1100,3,No Deposit,3 bathrooms,,"Hinjewadi, Pune",Paranjape Blue Ridge Project E Land T24 And T25,Semi-Furnished
"Seller
VERIFIED OWNER",7500,500,1,No Deposit,1 bathrooms,North facing,"Lohegaon, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",12000,906,2,No Deposit,2 bathrooms,,"Lohegaon, Pune",Jayshree Boulevard,Unfurnished
"Seller
VERIFIED OWNER",11000,650,1,No Deposit,1 bathrooms,,"Anand Nagar, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",4500,350,1,No Deposit,1 bathrooms,,"Wagholi, Pune",,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,No Deposit,2 bathrooms,North facing,"Sangamvadi, Pune",,Furnished
"Seller
VERIFIED OWNER",1.1 L,5000,5,No Deposit,5 bathrooms,,"Wadgaon Sheri, Pune",,Unfurnished
"Seller
VERIFIED OWNER",15500,975,2,No Deposit,2 bathrooms,,"Tathawade, Pune",Legacy Twin Arcs,Semi-Furnished
"Primus Realty
AGENT
0",41000,1630,3,No Deposit,3 bathrooms,,"Mohammed wadi, Pune",,Semi-Furnished
"NISHA SINGH
AGENT
0",51000,2500,5,No Deposit,5 bathrooms,West facing,"Tathawade, Pune",Pharande Puneville Phase I,Semi-Furnished
"Isahh Realtors
AGENT
0",75000,2700,3,No Deposit,4 bathrooms,East facing,"NIBM Annex Mohammadwadi, Pune",Marvel Sangria,Semi-Furnished
"Vastupurti Real Estate
AGENT
0",30000,1300,3,No Deposit,3 bathrooms,East facing,"Vadgaon Budruk, Pune",Tirupati Welworth Bluescapes,Semi-Furnished
"MY HOMES GATEWAY
AGENT
0",36000,1560,3,No Deposit,3 bathrooms,East facing,"Wakad, Pune",Karan Madhupushpa,Semi-Furnished
"Sai Real Estate
AGENT
0",41000,1250,2,No Deposit,2 bathrooms,,"Kharadi, Pune",Vascon Forest County,Semi-Furnished
"Happiness Realtors
AGENT
0",18000,950,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Majestique Manhattan Wing C,Semi-Furnished
"Vision Realty
AGENT
0",30000,1570,3,No Deposit,3 bathrooms,,"NIBM Annex Mohammadwadi, Pune",Kumar Palmspring Towers,Semi-Furnished
"Melange Consultancy
AGENT
0",48000,1300,2,No Deposit,2 bathrooms,,"Hadapsar, Pune",Marvel Arco,Furnished
"A Realities
AGENT
0",23000,1000,2,No Deposit,2 bathrooms,West facing,"Dhanori, Pune",Goel Ganga Ganga Newtown Ph 02,Semi-Furnished
"KDH REALITY
AGENT
0",24000,1250,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Kolte Patil Ivy Apartment E V And VI,Semi-Furnished
"FS Realty
AGENT
0",26000,950,2,No Deposit,2 bathrooms,East facing,"Dhanori, Pune",Raojee Palladium Homes,Unfurnished
"Envision Realty
AGENT
0",37000,1100,3,No Deposit,3 bathrooms,,"Hinjewadi, Pune",Paranjape Blue Ridge Project E Land T24 And T25,Semi-Furnished
"Seller
VERIFIED OWNER",7500,500,1,No Deposit,1 bathrooms,North facing,"Lohegaon, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",12000,906,2,No Deposit,2 bathrooms,,"Lohegaon, Pune",Jayshree Boulevard,Unfurnished
"Seller
VERIFIED OWNER",11000,650,1,No Deposit,1 bathrooms,,"Anand Nagar, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",4500,350,1,No Deposit,1 bathrooms,,"Wagholi, Pune",,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,No Deposit,2 bathrooms,North facing,"Sangamvadi, Pune",,Furnished
"Seller
VERIFIED OWNER",1.1 L,5000,5,No Deposit,5 bathrooms,,"Wadgaon Sheri, Pune",,Unfurnished
"Seller
VERIFIED OWNER",15500,975,2,No Deposit,2 bathrooms,,"Tathawade, Pune",Legacy Twin Arcs,Semi-Furnished
"Primus Realty
AGENT
0",41000,1630,3,No Deposit,3 bathrooms,,"Mohammed wadi, Pune",,Semi-Furnished
"NISHA SINGH
AGENT
0",51000,2500,5,No Deposit,5 bathrooms,West facing,"Tathawade, Pune",Pharande Puneville Phase I,Semi-Furnished
"Isahh Realtors
AGENT
0",75000,2700,3,No Deposit,4 bathrooms,East facing,"NIBM Annex Mohammadwadi, Pune",Marvel Sangria,Semi-Furnished
"Vastupurti Real Estate
AGENT
0",30000,1300,3,No Deposit,3 bathrooms,East facing,"Vadgaon Budruk, Pune",Tirupati Welworth Bluescapes,Semi-Furnished
"MY HOMES GATEWAY
AGENT
0",36000,1560,3,No Deposit,3 bathrooms,East facing,"Wakad, Pune",Karan Madhupushpa,Semi-Furnished
"Sai Real Estate
AGENT
0",41000,1250,2,No Deposit,2 bathrooms,,"Kharadi, Pune",Vascon Forest County,Semi-Furnished
"Happiness Realtors
AGENT
0",18000,950,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Majestique Manhattan Wing C,Semi-Furnished
"Vision Realty
AGENT
0",30000,1570,3,No Deposit,3 bathrooms,,"NIBM Annex Mohammadwadi, Pune",Kumar Palmspring Towers,Semi-Furnished
"Melange Consultancy
AGENT
0",48000,1300,2,No Deposit,2 bathrooms,,"Hadapsar, Pune",Marvel Arco,Furnished
"A Realities
AGENT
0",23000,1000,2,No Deposit,2 bathrooms,West facing,"Dhanori, Pune",Goel Ganga Ganga Newtown Ph 02,Semi-Furnished
"KDH REALITY
AGENT
0",24000,1250,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Kolte Patil Ivy Apartment E V And VI,Semi-Furnished
"FS Realty
AGENT
0",26000,950,2,No Deposit,2 bathrooms,East facing,"Dhanori, Pune",Raojee Palladium Homes,Unfurnished
"Envision Realty
AGENT
0",37000,1100,3,No Deposit,3 bathrooms,,"Hinjewadi, Pune",Paranjape Blue Ridge Project E Land T24 And T25,Semi-Furnished
"Seller
VERIFIED OWNER",7500,500,1,No Deposit,1 bathrooms,North facing,"Lohegaon, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",12000,906,2,No Deposit,2 bathrooms,,"Lohegaon, Pune",Jayshree Boulevard,Unfurnished
"Seller
VERIFIED OWNER",11000,650,1,No Deposit,1 bathrooms,,"Anand Nagar, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",4500,350,1,No Deposit,1 bathrooms,,"Wagholi, Pune",,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,No Deposit,2 bathrooms,North facing,"Sangamvadi, Pune",,Furnished
"Seller
VERIFIED OWNER",1.1 L,5000,5,No Deposit,5 bathrooms,,"Wadgaon Sheri, Pune",,Unfurnished
"Seller
VERIFIED OWNER",15500,975,2,No Deposit,2 bathrooms,,"Tathawade, Pune",Legacy Twin Arcs,Semi-Furnished
"Primus Realty
AGENT
0",41000,1630,3,No Deposit,3 bathrooms,,"Mohammed wadi, Pune",,Semi-Furnished
"NISHA SINGH
AGENT
0",51000,2500,5,No Deposit,5 bathrooms,West facing,"Tathawade, Pune",Pharande Puneville Phase I,Semi-Furnished
"Isahh Realtors
AGENT
0",75000,2700,3,No Deposit,4 bathrooms,East facing,"NIBM Annex Mohammadwadi, Pune",Marvel Sangria,Semi-Furnished
"Vastupurti Real Estate
AGENT
0",30000,1300,3,No Deposit,3 bathrooms,East facing,"Vadgaon Budruk, Pune",Tirupati Welworth Bluescapes,Semi-Furnished
"MY HOMES GATEWAY
AGENT
0",36000,1560,3,No Deposit,3 bathrooms,East facing,"Wakad, Pune",Karan Madhupushpa,Semi-Furnished
"Sai Real Estate
AGENT
0",41000,1250,2,No Deposit,2 bathrooms,,"Kharadi, Pune",Vascon Forest County,Semi-Furnished
"Happiness Realtors
AGENT
0",18000,950,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Majestique Manhattan Wing C,Semi-Furnished
"Vision Realty
AGENT
0",30000,1570,3,No Deposit,3 bathrooms,,"NIBM Annex Mohammadwadi, Pune",Kumar Palmspring Towers,Semi-Furnished
"Melange Consultancy
AGENT
0",48000,1300,2,No Deposit,2 bathrooms,,"Hadapsar, Pune",Marvel Arco,Furnished
"A Realities
AGENT
0",23000,1000,2,No Deposit,2 bathrooms,West facing,"Dhanori, Pune",Goel Ganga Ganga Newtown Ph 02,Semi-Furnished
"KDH REALITY
AGENT
0",24000,1250,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Kolte Patil Ivy Apartment E V And VI,Semi-Furnished
"FS Realty
AGENT
0",26000,950,2,No Deposit,2 bathrooms,East facing,"Dhanori, Pune",Raojee Palladium Homes,Unfurnished
"Envision Realty
AGENT
0",37000,1100,3,No Deposit,3 bathrooms,,"Hinjewadi, Pune",Paranjape Blue Ridge Project E Land T24 And T25,Semi-Furnished
"Seller
VERIFIED OWNER",7500,500,1,No Deposit,1 bathrooms,North facing,"Lohegaon, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",12000,906,2,No Deposit,2 bathrooms,,"Lohegaon, Pune",Jayshree Boulevard,Unfurnished
"Seller
VERIFIED OWNER",11000,650,1,No Deposit,1 bathrooms,,"Anand Nagar, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",4500,350,1,No Deposit,1 bathrooms,,"Wagholi, Pune",,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,No Deposit,2 bathrooms,North facing,"Sangamvadi, Pune",,Furnished
"Seller
VERIFIED OWNER",1.1 L,5000,5,No Deposit,5 bathrooms,,"Wadgaon Sheri, Pune",,Unfurnished
"Seller
VERIFIED OWNER",15500,975,2,No Deposit,2 bathrooms,,"Tathawade, Pune",Legacy Twin Arcs,Semi-Furnished
"Primus Realty
AGENT
0",41000,1630,3,No Deposit,3 bathrooms,,"Mohammed wadi, Pune",,Semi-Furnished
"NISHA SINGH
AGENT
0",51000,2500,5,No Deposit,5 bathrooms,West facing,"Tathawade, Pune",Pharande Puneville Phase I,Semi-Furnished
"Isahh Realtors
AGENT
0",75000,2700,3,No Deposit,4 bathrooms,East facing,"NIBM Annex Mohammadwadi, Pune",Marvel Sangria,Semi-Furnished
"Vastupurti Real Estate
AGENT
0",30000,1300,3,No Deposit,3 bathrooms,East facing,"Vadgaon Budruk, Pune",Tirupati Welworth Bluescapes,Semi-Furnished
"MY HOMES GATEWAY
AGENT
0",36000,1560,3,No Deposit,3 bathrooms,East facing,"Wakad, Pune",Karan Madhupushpa,Semi-Furnished
"Sai Real Estate
AGENT
0",41000,1250,2,No Deposit,2 bathrooms,,"Kharadi, Pune",Vascon Forest County,Semi-Furnished
"Happiness Realtors
AGENT
0",18000,950,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Majestique Manhattan Wing C,Semi-Furnished
"Vision Realty
AGENT
0",30000,1570,3,No Deposit,3 bathrooms,,"NIBM Annex Mohammadwadi, Pune",Kumar Palmspring Towers,Semi-Furnished
"Melange Consultancy
AGENT
0",48000,1300,2,No Deposit,2 bathrooms,,"Hadapsar, Pune",Marvel Arco,Furnished
"A Realities
AGENT
0",23000,1000,2,No Deposit,2 bathrooms,West facing,"Dhanori, Pune",Goel Ganga Ganga Newtown Ph 02,Semi-Furnished
"KDH REALITY
AGENT
0",24000,1250,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Kolte Patil Ivy Apartment E V And VI,Semi-Furnished
"FS Realty
AGENT
0",26000,950,2,No Deposit,2 bathrooms,East facing,"Dhanori, Pune",Raojee Palladium Homes,Unfurnished
"Envision Realty
AGENT
0",37000,1100,3,No Deposit,3 bathrooms,,"Hinjewadi, Pune",Paranjape Blue Ridge Project E Land T24 And T25,Semi-Furnished
"Seller
VERIFIED OWNER",7500,500,1,No Deposit,1 bathrooms,North facing,"Lohegaon, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",12000,906,2,No Deposit,2 bathrooms,,"Lohegaon, Pune",Jayshree Boulevard,Unfurnished
"Seller
VERIFIED OWNER",11000,650,1,No Deposit,1 bathrooms,,"Anand Nagar, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",4500,350,1,No Deposit,1 bathrooms,,"Wagholi, Pune",,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,No Deposit,2 bathrooms,North facing,"Sangamvadi, Pune",,Furnished
"Seller
VERIFIED OWNER",1.1 L,5000,5,No Deposit,5 bathrooms,,"Wadgaon Sheri, Pune",,Unfurnished
"Seller
VERIFIED OWNER",15500,975,2,No Deposit,2 bathrooms,,"Tathawade, Pune",Legacy Twin Arcs,Semi-Furnished
"Primus Realty
AGENT
0",41000,1630,3,No Deposit,3 bathrooms,,"Mohammed wadi, Pune",,Semi-Furnished
"NISHA SINGH
AGENT
0",51000,2500,5,No Deposit,5 bathrooms,West facing,"Tathawade, Pune",Pharande Puneville Phase I,Semi-Furnished
"Isahh Realtors
AGENT
0",75000,2700,3,No Deposit,4 bathrooms,East facing,"NIBM Annex Mohammadwadi, Pune",Marvel Sangria,Semi-Furnished
"Vastupurti Real Estate
AGENT
0",30000,1300,3,No Deposit,3 bathrooms,East facing,"Vadgaon Budruk, Pune",Tirupati Welworth Bluescapes,Semi-Furnished
"MY HOMES GATEWAY
AGENT
0",36000,1560,3,No Deposit,3 bathrooms,East facing,"Wakad, Pune",Karan Madhupushpa,Semi-Furnished
"Sai Real Estate
AGENT
0",41000,1250,2,No Deposit,2 bathrooms,,"Kharadi, Pune",Vascon Forest County,Semi-Furnished
"Happiness Realtors
AGENT
0",18000,950,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Majestique Manhattan Wing C,Semi-Furnished
"Vision Realty
AGENT
0",30000,1570,3,No Deposit,3 bathrooms,,"NIBM Annex Mohammadwadi, Pune",Kumar Palmspring Towers,Semi-Furnished
"Melange Consultancy
AGENT
0",48000,1300,2,No Deposit,2 bathrooms,,"Hadapsar, Pune",Marvel Arco,Furnished
"A Realities
AGENT
0",23000,1000,2,No Deposit,2 bathrooms,West facing,"Dhanori, Pune",Goel Ganga Ganga Newtown Ph 02,Semi-Furnished
"KDH REALITY
AGENT
0",24000,1250,2,No Deposit,2 bathrooms,,"Wagholi, Pune",Kolte Patil Ivy Apartment E V And VI,Semi-Furnished
"FS Realty
AGENT
0",26000,950,2,No Deposit,2 bathrooms,East facing,"Dhanori, Pune",Raojee Palladium Homes,Unfurnished
"Envision Realty
AGENT
0",37000,1100,3,No Deposit,3 bathrooms,,"Hinjewadi, Pune",Paranjape Blue Ridge Project E Land T24 And T25,Semi-Furnished
"Seller
VERIFIED OWNER",7500,500,1,No Deposit,1 bathrooms,North facing,"Lohegaon, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",12000,906,2,No Deposit,2 bathrooms,,"Lohegaon, Pune",Jayshree Boulevard,Unfurnished
"Seller
VERIFIED OWNER",11000,650,1,No Deposit,1 bathrooms,,"Anand Nagar, Pune",,Semi-Furnished
"Seller
VERIFIED OWNER",4500,350,1,No Deposit,1 bathrooms,,"Wagholi, Pune",,Unfurnished
"Seller
VERIFIED OWNER",35000,1500,3,No Deposit,2 bathrooms,North facing,"Sangamvadi, Pune",,Furnished
"Seller
VERIFIED OWNER",1.1 L,5000,5,No Deposit,5 bathrooms,,"Wadgaon Sheri, Pune",,Unfurnished
"Seller
VERIFIED OWNER",15500,975,2,No Deposit,2 bathrooms,,"Tathawade, Pune",Legacy Twin Arcs,Semi-Furnished
"Primus Realty
AGENT
0",41000,1630,3,No Deposit,3 bathrooms,,"Mohammed wadi, Pune",,Semi-Furnished
"NISHA SINGH
AGENT
0",51000,2500,5,No Deposit,5 bathrooms,West facing,"Tathawade, Pune",Pharande Puneville Phase I,Semi-Furnished
"Isahh Realtors
AGENT
0",75000,2700,3,No Deposit,4 bathrooms,East facing,"NIBM Annex Mohammadwadi, Pune",Marvel Sangria,Semi-Furnished
"Vastupurti Real Estate
AGENT
0",30000,1300,3,No Deposit,3 bathrooms,East facing,"Vadgaon Budruk, Pune",Tirupati Welworth Bluescapes,Semi-Furnished
